decision_id,timestamp,bot_version,symbol,strategy,strategy_version,intended_action,position_side_before,position_side_after_expected,strategy_reason,order_id,client_order_id,order_type,requested_qty,filled_qty,final_status,decision_price,filled_avg_price,submitted_at,filled_at,canceled_at,failed_at,expired_at,note
ab9c889ae5324bd7ae0ecf1e98b40a19,2026-04-16T15:39:13Z,0.3.0,ARKK,macd_pullback,v2,BUY,flat,long,macd_pullback,2e058a8b-b48d-4364-bed9-030bc4eee592,fa029286-4ae5-4cf2-a6f0-ccfee2c656a7,market,51,51,filled,77.445,77.43,2026-04-16 15:39:11.216082+00:00,2026-04-16 15:39:11.593118+00:00,,,,
6c2dea515bf74240b29226014fcd5a3f,2026-04-16T16:34:21Z,0.3.0,ARKK,macd_pullback,v2,SELL,long,flat,macd_failure,83dcacd2-ab81-4dd3-b2fa-cb627bfba80e,9ce81072-4454-4a28-88b6-cf34e42069c1,market,51,51,filled,76.875,76.977059,2026-04-16 16:34:19.989702+00:00,2026-04-16 16:34:21.216287+00:00,,,,
8c45c7e060d24d11b6c534feda95bdbd,2026-04-20T14:16:44Z,0.3.0,MSFT,macd_pullback,v2,SELL,flat,short,macd_pullback,9958e93a-aba1-4388-8257-8870750c1067,26f6814c-649c-4a56-8677-9424bb17652d,market,9,9,filled,420.3,420.308889,2026-04-20 14:16:42.459765+00:00,2026-04-20 14:16:43.870948+00:00,,,,
923e42f7216f4ace98d8a378647b7b50,2026-04-20T14:18:35Z,0.3.0,ARKK,macd_pullback,v2,SELL,flat,short,macd_pullback,f5eff71d-2ccb-4c6a-90e4-2412320f6aa5,f703d318-ff0a-47d7-a4ff-e10505d040dd,market,49,49,filled,78.78,78.702245,2026-04-20 14:18:33.637890+00:00,2026-04-20 14:18:34.849883+00:00,,,,
6ecdf006fb474ca2a46e3812b4eb3d02,2026-04-20T15:07:08Z,0.3.0,ARKK,macd_pullback,v2,BUY,short,flat,take_profit,461c42a4-2016-404c-b1f3-5a54478fc453,86b62a3f-18e7-4c0c-9c1f-2dcd6643fbb2,market,49,49,filled,77.83,77.76,2026-04-20 15:07:06.037622+00:00,2026-04-20 15:07:06.951123+00:00,,,,
adb83721df4e40f7a7271fcb4c1fc6ec,2026-04-20T16:18:15Z,0.3.0,ARKK,macd_pullback,v2,SELL,flat,short,macd_pullback,78784bac-7350-44d5-a21a-0ca98907d9b5,b95f718e-f53c-4240-a4b8-a26bf21046ae,market,49,49,filled,78.57,78.638367,2026-04-20 16:18:11.738075+00:00,2026-04-20 16:18:14.316784+00:00,,,,
9569eb07e97049fb9044c30b82c74b74,2026-04-20T16:46:22Z,0.3.0,MSFT,macd_pullback,v2,BUY,short,flat,time_stop,a6e244a9-96ae-4b7d-95e3-ff5af157fc3c,1a02c803-517a-4d83-9549-6678d2abd7df,market,9,9,filled,419.2,419.26,2026-04-20 16:46:21.184075+00:00,2026-04-20 16:46:21.827814+00:00,,,,
130e633792c94e19a337751519fa25fc,2026-04-21T14:01:42Z,0.3.0,AMZN,macd_pullback,v2,BUY,flat,long,macd_pullback,f2211578-558f-4973-9d8f-a9a600928d3d,1b7bb061-f584-4b74-b93b-1a41b3e41662,market,31,31,filled,253.83,253.43,2026-04-21 14:01:40.558090+00:00,2026-04-21 14:01:41.418331+00:00,,,,
b08aef5f9af845699df38dc943b4bf6f,2026-04-21T14:10:28Z,0.3.0,MSFT,macd_pullback,v2,BUY,flat,long,macd_pullback,fb2482ab-c547-4a80-91cd-777f6e04c5ce,698ad95d-cf8f-43ab-b852-b61188b854ed,market,18,18,filled,424.56,424.61,2026-04-21 14:10:26.822025+00:00,2026-04-21 14:10:27.130356+00:00,,,,
e92f57d956174cd1b50b3f56d7da6cf8,2026-04-21T14:17:53Z,0.3.0,ARKK,macd_pullback,v2,BUY,flat,long,macd_pullback,e4010e3b-2001-4f5f-8d59-22d1cdc0708b,391e3615-9625-472e-850d-7bcd7887d331,market,96,96,filled,80.0,80.074896,2026-04-21 14:17:51.283582+00:00,2026-04-21 14:17:53.044805+00:00,,,,
37539997fdd04183b8b5d0bbf4ad688b,2026-04-21T15:01:46Z,0.3.0,AMZN,macd_pullback,v2,SELL,long,flat,macd_failure,3688ac98-32c0-4677-9a37-842222ffde89,3285ed26-cd42-4d1f-990c-893ed1379767,market,31,31,filled,251.7,251.298387,2026-04-21 15:01:42.241682+00:00,2026-04-21 15:01:45.536979+00:00,,,,
795aa436321d42c693588d8fccfb8971,2026-04-21T15:03:36Z,0.3.0,ARKK,macd_pullback,v2,SELL,flat,short,macd_pullback,365d0455-db12-4389-8469-b19aa509e1d7,5924309b-a6f7-4e00-84c1-ab88dd1618fb,market,100,100,filled,78.23,78.15,2026-04-21 15:03:34.032293+00:00,2026-04-21 15:03:34.269414+00:00,,,,
c44f7f9ac2a84f2eaf61adc1de0d7670,2026-04-21T15:05:46Z,0.3.0,MSFT,macd_pullback,v2,SELL,long,flat,macd_failure,3c8c3a0e-353f-4480-b99b-16126eb70a1d,0bcfff4d-cc78-404a-9f48-847a54126931,market,18,18,filled,423.58,423.234444,2026-04-21 15:05:44.380347+00:00,2026-04-21 15:05:46.496756+00:00,,,,
d3ee4df086d5471ebf4ba1fcfd57b858,2026-04-21T15:12:38Z,0.3.0,AMD,macd_pullback,v2,BUY,flat,long,macd_pullback,c99f950c-a371-4ccc-8d38-ef628be30ccf,321bd08b-0160-4757-8026-bab43464eeb0,market,27,27,filled,279.665,279.96,2026-04-21 15:12:35.952310+00:00,2026-04-21 15:12:36.247881+00:00,,,,
